26/04/16,05:46:00,20:27:00,14:40:00
27/04/16,05:44:00,20:28:00,14:44:00
28/04/16,05:42:00,20:30:00,14:48:00
29/04/16,05:40:00,20:32:00,14:52:00
30/04/16,05:38:00,20:33:00,14:55:00
01/05/16,05:36:00,20:35:00,14:59:00
02/05/16,05:34:00,20:37:00,15:02:00
03/05/16,05:32:00,20:38:00,15:06:00
04/05/16,05:30:00,20:40:00,15:09:00
05/05/16,05:28:00,20:42:00,15:13:00
06/05/16,05:27:00,20:43:00,15:16:00
07/05/16,05:25:00,20:45:00,15:20:00
08/05/16,05:23:00,20:47:00,15:23:00
09/05/16,05:21:00,20:48:00,15:26:00
10/05/16,05:20:00,20:50:00,15:30:00
11/05/16,05:18:00,20:51:00,15:33:00
12/05/16,05:16:00,20:53:00,15:36:00
13/05/16,05:15:00,20:55:00,15:39:00
14/05/16,05:13:00,20:56:00,15:42:00
15/05/16,05:12:00,20:58:00,15:45:00
16/05/16,05:10:00,20:59:00,15:48:00
17/05/16,05:09:00,21:01:00,15:51:00
18/05/16,05:07:00,21:02:00,15:54:00
19/05/16,05:06:00,21:04:00,15:57:00
20/05/16,05:05:00,21:05:00,16:00:00
21/05/16,05:04:00,21:07:00,16:03:00
22/05/16,05:02:00,21:08:00,16:05:00
23/05/16,05:01:00,21:09:00,16:08:00
24/05/16,05:00:00,21:11:00,16:10:00
25/05/16,04:59:00,21:12:00,16:13:00
26/05/16,04:58:00,21:13:00,16:15:00
27/05/16,04:57:00,21:15:00,16:17:00
28/05/16,04:56:00,21:16:00,16:20:00
29/05/16,04:55:00,21:17:00,16:22:00
30/05/16,04:54:00,21:18:00,16:24:00
31/05/16,04:53:00,21:19:00,16:26:00
01/06/16,04:52:00,21:20:00,16:28:00
02/06/16,04:52:00,21:22:00,16:30:00
03/06/16,04:51:00,21:23:00,16:31:00
04/06/16,04:50:00,21:24:00,16:33:00
05/06/16,04:50:00,21:25:00,16:34:00
06/06/16,04:49:00,21:25:00,16:36:00
07/06/16,04:49:00,21:26:00,16:37:00
08/06/16,04:48:00,21:27:00,16:39:00
09/06/16,04:48:00,21:28:00,16:40:00
10/06/16,04:47:00,21:29:00,16:41:00
11/06/16,04:47:00,21:29:00,16:42:00
12/06/16,04:47:00,21:30:00,16:43:00
13/06/16,04:47:00,21:31:00,16:43:00
14/06/16,04:47:00,21:31:00,16:44:00
15/06/16,04:47:00,21:32:00,16:45:00
16/06/16,04:47:00,21:32:00,16:45:00
17/06/16,04:47:00,21:32:00,16:45:00
18/06/16,04:47:00,21:33:00,16:46:00
19/06/16,04:47:00,21:33:00,16:46:00
20/06/16,04:47:00,21:33:00,16:46:00
21/06/16,04:47:00,21:34:00,16:46:00
22/06/16,04:48:00,21:34:00,16:46:00
23/06/16,04:48:00,21:34:00,16:45:00
24/06/16,04:48:00,21:34:00,16:45:00
25/06/16,04:49:00,21:34:00,16:45:00
26/06/16,04:49:00,21:34:00,16:44:00
27/06/16,04:50:00,21:34:00,16:43:00
28/06/16,04:50:00,21:33:00,16:42:00
29/06/16,04:51:00,21:33:00,16:42:00
30/06/16,04:52:00,21:33:00,16:41:00
01/07/16,04:52:00,21:32:00,16:40:00
02/07/16,04:53:00,21:32:00,16:38:00
03/07/16,04:54:00,21:32:00,16:37:00
04/07/16,04:55:00,21:31:00,16:36:00
05/07/16,04:56:00,21:31:00,16:34:00
06/07/16,04:57:00,21:30:00,16:33:00
07/07/16,04:58:00,21:29:00,16:31:00
08/07/16,04:59:00,21:29:00,16:29:00
09/07/16,05:00:00,21:28:00,16:28:00
10/07/16,05:01:00,21:27:00,16:26:00
11/07/16,05:02:00,21:26:00,16:24:00
12/07/16,05:03:00,21:25:00,16:22:00
13/07/16,05:04:00,21:24:00,16:19:00
14/07/16,05:06:00,21:23:00,16:17:00
15/07/16,05:07:00,21:22:00,16:15:00
16/07/16,05:08:00,21:21:00,16:13:00
17/07/16,05:09:00,21:20:00,16:10:00
18/07/16,05:11:00,21:19:00,16:08:00
19/07/16,05:12:00,21:18:00,16:05:00
20/07/16,05:13:00,21:16:00,16:02:00
21/07/16,05:15:00,21:15:00,16:00:00
22/07/16,05:16:00,21:14:00,15:57:00
23/07/16,05:18:00,21:12:00,15:54:00
24/07/16,05:19:00,21:11:00,15:51:00
25/07/16,05:20:00,21:09:00,15:48:00
26/07/16,05:22:00,21:08:00,15:45:00
27/07/16,05:23:00,21:06:00,15:42:00
28/07/16,05:25:00,21:05:00,15:39:00
29/07/16,05:26:00,21:03:00,15:36:00
30/07/16,05:28:00,21:02:00,15:33:00
31/07/16,05:30:00,21:00:00,15:30:00
01/08/16,05:31:00,20:58:00,15:27:00
02/08/16,05:33:00,20:56:00,15:23:00
03/08/16,05:34:00,20:55:00,15:20:00
04/08/16,05:36:00,20:53:00,15:17:00
05/08/16,05:37:00,20:51:00,15:13:00
06/08/16,05:39:00,20:49:00,15:10:00
07/08/16,05:41:00,20:47:00,15:06:00
08/08/16,05:42:00,20:46:00,15:03:00
09/08/16,05:44:00,20:44:00,14:59:00
10/08/16,05:46:00,20:42:00,14:56:00
11/08/16,05:47:00,20:40:00,14:52:00
12/08/16,05:49:00,20:38:00,14:49:00
13/08/16,05:50:00,20:36:00,14:45:00
14/08/16,05:52:00,20:34:00,14:41:00
15/08/16,05:54:00,20:32:00,14:38:00
16/08/16,05:55:00,20:30:00,14:34:00
17/08/16,05:57:00,20:28:00,14:30:00
18/08/16,05:59:00,20:25:00,14:26:00
19/08/16,06:00:00,20:23:00,14:23:00
20/08/16,06:02:00,20:21:00,14:19:00
21/08/16,06:04:00,20:19:00,14:15:00
22/08/16,06:05:00,20:17:00,14:11:00
23/08/16,06:07:00,20:15:00,14:07:00
24/08/16,06:08:00,20:13:00,14:04:00
25/08/16,06:10:00,20:10:00,14:00:00
26/08/16,06:12:00,20:08:00,13:56:00
27/08/16,06:13:00,20:06:00,13:52:00
28/08/16,06:15:00,20:04:00,13:48:00
29/08/16,06:17:00,20:01:00,13:44:00
30/08/16,06:18:00,19:59:00,13:40:00
31/08/16,06:20:00,19:57:00,13:36:00
01/09/16,06:22:00,19:55:00,13:33:00
02/09/16,06:23:00,19:52:00,13:29:00
03/09/16,06:25:00,19:50:00,13:25:00
04/09/16,06:26:00,19:48:00,13:21:00
05/09/16,06:28:00,19:45:00,13:17:00
06/09/16,06:30:00,19:43:00,13:13:00
07/09/16,06:31:00,19:41:00,13:09:00
08/09/16,06:33:00,19:38:00,13:05:00
09/09/16,06:35:00,19:36:00,13:01:00
10/09/16,06:36:00,19:34:00,12:57:00
11/09/16,06:38:00,19:31:00,12:53:00
12/09/16,06:40:00,19:29:00,12:49:00
13/09/16,06:41:00,19:27:00,12:45:00
14/09/16,06:43:00,19:24:00,12:41:00
15/09/16,06:45:00,19:22:00,12:37:00
16/09/16,06:46:00,19:20:00,12:33:00
17/09/16,06:48:00,19:17:00,12:29:00
18/09/16,06:49:00,19:15:00,12:25:00
19/09/16,06:51:00,19:13:00,12:21:00
20/09/16,06:53:00,19:10:00,12:17:00
21/09/16,06:54:00,19:08:00,12:13:00
22/09/16,06:56:00,19:05:00,12:09:00
23/09/16,06:58:00,19:03:00,12:05:00
24/09/16,06:59:00,19:01:00,12:01:00
25/09/16,07:01:00,18:58:00,11:57:00
26/09/16,07:03:00,18:56:00,11:53:00
27/09/16,07:04:00,18:54:00,11:49:00
28/09/16,07:06:00,18:51:00,11:45:00
29/09/16,07:08:00,18:49:00,11:41:00
30/09/16,07:09:00,18:47:00,11:37:00
01/10/16,07:11:00,18:44:00,11:33:00
02/10/16,07:13:00,18:42:00,11:29:00
03/10/16,07:14:00,18:40:00,11:25:00
04/10/16,07:16:00,18:37:00,11:21:00
05/10/16,07:18:00,18:35:00,11:17:00
06/10/16,07:20:00,18:33:00,11:13:00
07/10/16,07:21:00,18:31:00,11:09:00
08/10/16,07:23:00,18:28:00,11:05:00
09/10/16,07:25:00,18:26:00,11:01:00
10/10/16,07:26:00,18:24:00,10:57:00
11/10/16,07:28:00,18:22:00,10:53:00
12/10/16,07:30:00,18:19:00,10:49:00
13/10/16,07:32:00,18:17:00,10:45:00
14/10/16,07:33:00,18:15:00,10:41:00
15/10/16,07:35:00,18:13:00,10:37:00
16/10/16,07:37:00,18:11:00,10:33:00
17/10/16,07:39:00,18:08:00,10:29:00
18/10/16,07:40:00,18:06:00,10:25:00
19/10/16,07:42:00,18:04:00,10:21:00
20/10/16,07:44:00,18:02:00,10:18:00
21/10/16,07:46:00,18:00:00,10:14:00
22/10/16,07:48:00,17:58:00,10:10:00
23/10/16,07:49:00,17:56:00,10:06:00
24/10/16,07:51:00,17:54:00,10:02:00
25/10/16,07:53:00,17:52:00,09:58:00
26/10/16,07:55:00,17:50:00,09:55:00
27/10/16,07:57:00,17:48:00,09:51:00
28/10/16,07:58:00,17:46:00,09:47:00
29/10/16,08:00:00,17:44:00,09:43:00
30/10/16,07:02:00,16:42:00,09:40:00
31/10/16,07:04:00,16:40:00,09:36:00
01/11/16,07:06:00,16:38:00,09:32:00
02/11/16,07:07:00,16:36:00,09:29:00
03/11/16,07:09:00,16:35:00,09:25:00
04/11/16,07:11:00,16:33:00,09:21:00
05/11/16,07:13:00,16:31:00,09:18:00
06/11/16,07:15:00,16:29:00,09:14:00
07/11/16,07:16:00,16:28:00,09:11:00
08/11/16,07:18:00,16:26:00,09:07:00
09/11/16,07:20:00,16:25:00,09:04:00
10/11/16,07:22:00,16:23:00,09:01:00
11/11/16,07:24:00,16:21:00,08:57:00
12/11/16,07:25:00,16:20:00,08:54:00
13/11/16,07:27:00,16:18:00,08:51:00
14/11/16,07:29:00,16:17:00,08:48:00
15/11/16,07:31:00,16:16:00,08:44:00
16/11/16,07:32:00,16:14:00,08:41:00
17/11/16,07:34:00,16:13:00,08:38:00
18/11/16,07:36:00,16:12:00,08:35:00
19/11/16,07:38:00,16:10:00,08:32:00
20/11/16,07:39:00,16:09:00,08:30:00
21/11/16,07:41:00,16:08:00,08:27:00
22/11/16,07:43:00,16:07:00,08:24:00
23/11/16,07:44:00,16:06:00,08:21:00
24/11/16,07:46:00,16:05:00,08:19:00
25/11/16,07:47:00,16:04:00,08:16:00
26/11/16,07:49:00,16:03:00,08:14:00
27/11/16,07:50:00,16:02:00,08:11:00
28/11/16,07:52:00,16:01:00,08:09:00
29/11/16,07:53:00,16:01:00,08:07:00
30/11/16,07:55:00,16:00:00,08:05:00
01/12/16,07:56:00,15:59:00,08:03:00
02/12/16,07:58:00,15:59:00,08:01:00
03/12/16,07:59:00,15:58:00,07:59:00
04/12/16,08:00:00,15:58:00,07:57:00
05/12/16,08:01:00,15:57:00,07:55:00
06/12/16,08:03:00,15:57:00,07:54:00
07/12/16,08:04:00,15:57:00,07:52:00
08/12/16,08:05:00,15:56:00,07:51:00
09/12/16,08:06:00,15:56:00,07:50:00
10/12/16,08:07:00,15:56:00,07:48:00
11/12/16,08:08:00,15:56:00,07:47:00
12/12/16,08:09:00,15:56:00,07:46:00
13/12/16,08:10:00,15:56:00,07:45:00
14/12/16,08:11:00,15:56:00,07:45:00
15/12/16,08:12:00,15:56:00,07:44:00
16/12/16,08:13:00,15:56:00,07:43:00
17/12/16,08:13:00,15:57:00,07:43:00
18/12/16,08:14:00,15:57:00,07:43:00
19/12/16,08:14:00,15:57:00,07:42:00
20/12/16,08:15:00,15:58:00,07:42:00
21/12/16,08:16:00,15:58:00,07:42:00
22/12/16,08:16:00,15:59:00,07:42:00
23/12/16,08:16:00,16:00:00,07:43:00
24/12/16,08:17:00,16:00:00,07:43:00
25/12/16,08:17:00,16:01:00,07:43:00
26/12/16,08:17:00,16:02:00,07:44:00
27/12/16,08:17:00,16:03:00,07:45:00
28/12/16,08:17:00,16:03:00,07:46:00
29/12/16,08:17:00,16:04:00,07:46:00
30/12/16,08:17:00,16:05:00,07:47:00
31/12/16,08:17:00,16:06:00,07:49:00
